categoria,pedidos_2025-01,pedidos_2025-02,receita_produto_2025-01,receita_produto_2025-02,itens_vendidos_2025-01,itens_vendidos_2025-02,ticket_medio_2025-01,ticket_medio_2025-02,pedidos_var_pct,receita_produto_var_pct,ticket_medio_var_pct,itens_vendidos_var_pct
Climatização,3374.0,2653.0,10693669.03,8475576.83,3962.0,3136.0,3169.4336188500292,3194.714221635884,-21.369294605809127,-20.742106322697733,0.7976378692867917,-20.848056537102476
Eletrodomésticos,1708.0,1678.0,3195967.81,3202657.86,1997.0,2002.0,1871.1755327868852,1908.616126340882,-1.756440281030445,0.209327827992104,2.000912950065862,0.25037556334501754
Esporte e Lazer,965.0,863.0,892022.87,773944.6900000001,1114.0,1005.0,924.3760310880829,896.8072885283894,-10.569948186528498,-13.237124738741276,-2.982416422810342,-9.784560143626571
Ferramentas,285.0,259.0,130196.3,108381.45,350.0,305.0,456.82912280701754,418.4611969111969,-9.12280701754386,-16.755353262727134,-8.39874779875379,-12.857142857142856
Iluminação,277.0,271.0,44899.52,47467.71,316.0,321.0,162.0921299638989,175.15760147601475,-2.166064981949458,5.719860702297046,8.060521824857117,1.5822784810126582
Móveis,688.0,663.0,1095854.89,1046124.23,799.0,759.0,1592.8123401162788,1577.864600301659,-3.6337209302325584,-4.538069816889709,-0.9384495234089277,-5.006257822277847
"TV, Áudio e Vídeo",818.0,815.0,2808044.7,2980486.99,952.0,957.0,3432.817481662592,3657.0392515337426,-0.36674816625916873,6.141009436210187,6.531712538429363,0.5252100840336135
Utilidades Domésticas,469.0,414.0,186146.72,165830.49,559.0,495.0,396.90132196162045,400.5567391304348,-11.727078891257996,-10.91409507511065,0.9209889124954327,-11.449016100178891
