categoria,pedidos,receita_produto,itens_vendidos,skus_vendidos,ticket_medio,share_receita_pct
Climatização,6027,19169245.86,7098,801,3180.561781981085,53.4747687686603
Eletrodomésticos,3386,6398625.67,3999,973,1889.72996751329,17.84968645294761
"TV, Áudio e Vídeo",1633,5788531.69,1909,546,3544.722406613595,16.147760631456183
Móveis,1351,2141979.12,1558,531,1585.4767727609178,5.9752918286843055
Esporte e Lazer,1828,1665967.56,2119,652,911.3608096280088,4.647404008364531
Utilidades Domésticas,883,351977.21,1054,400,398.61518686296716,0.98188004129382
Ferramentas,544,238577.75,655,296,438.56204044117646,0.6655394848484271
Iluminação,548,92367.23,637,310,168.55333941605838,0.2576687837448219
